ADD,PUSH,POP,OR,ADC,SBB,AND,ES,DAA,SUB,CS,DAS,XOR,SS,AAA,CMP,DS,AAS,PUSHA,PUSHAD,class
2.033272,5.175601,100,5.545287,0,6.099815,0.554529,11.829945,0.184843,15.526803,0.184843,6.469501,0.369686,6.099815,17.190388,0.184843,2.957486,4.990758,1.2939,39.371536,b
0.15674,0.031348,5.768025,1.003135,0,0.846395,0,1.316614,0.031348,11.630095,15.830721,0.721003,0,10.783699,9.435737,6.583072,0.15674,5.705329,0.376176,3.291536,b
16.913946,2.077151,84.272995,3.264095,0,10.385756,0,16.913946,93.768547,32.047478,15.727003,0.890208,1.780416,35.608311,100,14.836796,2.373887,15.133532,0.890208,21.66172,b
0.240798,2.235982,100,5.331957,0,3.852769,0,7.086343,0,7.911937,0.103199,5.916753,0.309598,1.169591,13.140695,0.171999,1.823185,2.717578,0.309598,9.803922,b
0.17094,2.59829,100,5.264957,0,3.931624,0.034188,7.350428,0,7.931623,0.102564,5.470086,0.307692,1.299145,12.512821,0.102564,1.74359,2.769231,0.478632,9.948718,b
0.364631,2.825889,100,6.836828,0,4.436342,0.091158,8.477666,0,10.786995,0.091158,4.861744,0.030386,2.491644,14.615618,0.182315,1.124278,5.621391,0.577332,17.471893,b
0.206754,0.068918,17.505169,6.616127,0,3.928325,0.068918,11.371468,5.444521,25.913164,21.22674,4.203997,0,30.117161,63.818054,12.060647,1.240524,7.443143,0.068918,9.717436,b
0,0,18.803419,0.412614,0,0.029472,0,0.23578,53.374596,4.067197,8.93015,0.265252,0,9.932213,50.132626,7.574418,0.088417,3.153551,0,3.212496,b
0.11853,0.03951,14.816278,3.792967,0,2.528645,0.07902,7.388384,5.29435,23.508495,11.536942,2.568155,0,29.909128,58.316868,11.971553,0.592651,5.807981,0.07902,12.050572,b
0.018792,3.442403,17.361176,0.894954,0,0.230198,0.005872,0.594287,48.304047,5.951095,23.796158,0.85972,0.004698,10.354223,53.286194,7.149065,0.267782,2.904491,0.025839,4.526449,b
0.061035,0.12207,16.223145,3.027344,0,3.186035,0.036621,3.820801,20.849609,16.577148,17.724609,5.383301,0,21.801758,53.69873,8.374023,0.866699,6.481934,0.024414,9.973145,b
0.493097,7.001972,100,6.410257,0,7.988165,0.197239,8.086785,0,11.538462,0.295858,18.047337,0.295858,6.311637,19.625246,0.098619,2.859961,5.029586,2.859961,6.410257,b
0.032886,0.157853,16.324652,3.650355,0,1.992897,0.026309,5.288082,27.920284,18.047882,19.593529,4.604052,0,22.250725,56.583794,8.478032,0.611681,7.175744,0.059195,12.523021,b
0.038023,0.32557,21.240494,2.281369,0,1.768061,0.007129,4.657794,35.912548,14.225285,17.286121,3.286597,0.03327,21.038498,55.023766,8.842681,0.746198,4.852662,0.080798,10.035646,b
0.148368,0,17.062313,2.596439,0,2.818991,0.074184,5.267062,15.875371,27.151335,13.649851,3.115727,0,38.204746,69.807121,15.133532,0.890208,5.78635,0.148368,15.652819,b
0,0,14.021,1.852996,35.206917,2.903027,0,2.408894,23.162445,22.544781,17.912291,1.358863,0,7.659049,5.806053,0,0.988264,10.438542,0.370599,13.094502,b
0.216567,0.162426,17.975096,2.490525,0,1.949107,0.054142,5.576611,12.181917,23.768272,10.882512,2.273958,0,34.81321,59.014618,13.697888,1.245263,4.818624,0.162426,11.911207,b
0.154143,0.077071,16.146435,4.585742,0,2.312139,0.077071,8.015414,7.013488,24.431601,12.138728,3.776493,0,30.674374,61.233139,11.368015,0.693642,5.93449,0.115607,11.791907,b
100,3.513427,33.531471,4.224605,0,9.630966,6.418285,7.377137,19.258394,8.488129,5.452358,3.644341,21.317623,12.376606,42.426495,3.8814,2.108764,3.067615,5.024237,6.446591,b
0,0.423729,11.682808,6.053269,0,2.784504,0.060533,7.324455,0,20.27845,10.653753,2.663438,0,10.653753,100,4.96368,2.058111,6.900726,0.121065,7.869249,b
31.528702,22.107775,24.892183,21.781183,0,29.895741,14.123016,30.02973,3.550643,4.044718,3.148683,22.941004,14.97718,39.927982,50.659466,7.172466,21.739313,22.991249,32.789013,23.523006,b
6.806836,8.74616,100,38.229649,0,11.453533,0.998464,10.272657,0.30722,15.015361,0.969662,17.300308,0.950461,7.162058,27.755377,0.451229,4.569892,9.965438,3.801843,5.289938,b
8.467742,1.209677,53.629036,3.629032,0,2.822581,0,12.903225,100,27.82258,9.677419,0,0,34.274193,86.290321,14.112904,2.419355,4.838709,0.403226,22.580645,b
3.306878,1.455027,100,6.878307,0,6.216931,0.529101,10.185185,37.30159,18.121693,8.994709,1.322751,0.925926,16.534391,66.798943,4.761905,1.058201,3.439153,0.661376,14.68254,b
0,0.869157,15.057552,2.818887,0,2.748414,0.023491,5.661263,1.926239,9.725159,8.245243,4.110876,0,20.507401,54.521965,8.198262,1.456425,3.547099,0.046981,6.436458,b
0.067039,0.871508,15.553072,2.793296,0,2.614525,0.022346,5.541899,1.899441,9.698324,8.134078,3.888268,0.022346,20.782124,57.541901,8.201118,1.385475,3.486033,0.067039,6.189944,b
0,0,19.718309,0.704225,32.042252,2.112676,0,2.816901,72.887329,21.478874,28.169016,1.408451,0,8.802817,3.169014,0,0.352113,14.436619,0.704225,17.957747,b
0,0,12.965608,2.308256,28.015596,0.358976,0,0.97657,43.567375,10.595592,16.682751,1.748562,0,5.091288,3.593623,0,0.204578,9.646042,0.03474,8.152237,b
0,0,17.058825,1.764706,48.823528,0.588235,0,2.352941,71.764709,12.941177,38.823528,1.176471,0,7.058824,2.941176,0,0.588235,14.117648,0.588235,24.705883,b
4.128949,0.387955,27.082951,2.484759,0,3.020506,0.314059,10.049879,0.064659,8.950674,9.329392,1.246998,0.009237,20.99575,30.168114,9.458711,0.295585,4.055053,0.397192,8.9322,b
0.243883,0.121942,16.371326,1.061152,22.338686,0,0.012973,0,0.012973,12.282386,20.935061,1.245362,0,10.697144,8.896557,0,0.197182,7.31391,0.526684,5.025556,b
0.026918,0.385823,17.371017,2.144459,0,3.077613,0.044863,7.375505,0.906236,22.07268,16.204576,1.731718,0,36.339169,76.590401,8.497084,0.538358,4.925976,0.143562,10.4262,b
0,0,11.924326,3.076629,26.301039,0.541436,0,1.490541,30.893686,11.714122,20.931269,2.350468,0,5.064017,3.713612,0,0.293012,9.000573,0.050959,9.268106,b
2.091361,0.570058,33.985649,1.889394,0,0.908508,0.205414,1.629524,0.044116,6.43607,15.895446,0.681726,0.222647,1.319336,10.478863,0.729288,0.35913,4.931311,8.137282,1.459265,b
